Cap_puntaje,Des_puntaje,Nivel_instru,discapacidad,pea,edad,edad_cuadrado,jefe_familia,estado_conyugal,Urbana,vehiculo,sexo
42.19,42.12,Primaria completa,1,1,48,2304,1,1,0,0,0
25.35,38.18,Primaria completa,0,1,53,2809,1,1,0,1,0
43.28,42.41,Primaria completa,1,0,52,2704,1,0,0,1,1
36.58,41.49,Educación superior,0,0,32,1024,1,0,1,1,1
19.73,25.88,Primaria incompleta,0,1,64,4096,1,0,1,0,1
34.63,40.04,Primaria incompleta,0,0,27,729,1,0,0,0,1
49.48,46.09,Primaria incompleta,1,1,59,3481,0,1,0,0,1
47.04,44.21,Primaria incompleta,1,0,54,2916,0,1,0,0,1
39.71,41.16,Primaria incompleta,0,1,60,3600,0,1,0,0,1
36.58,41.16,Primaria incompleta,0,0,36,1296,0,1,0,1,1
10.32,0,Secundaria incompleta,0,0,18,324,1,0,0,1,1
43.28,43.23,Secundaria completa,1,1,63,3969,1,0,1,1,1
36.58,35.62,Primaria completa,0,0,30,900,0,0,0,0,0
51.77,51.96,Primaria completa,1,0,56,3136,1,0,0,1,1
10.32,30.05,Primaria incompleta,0,1,60,3600,1,0,1,1,1
0,42.12,Primaria completa,0,1,60,3600,1,0,0,1,0
32.26,40.04,Sin nivel de instrucción,0,0,29,841,0,1,0,1,1
29.28,37.63,Secundaria incompleta,0,1,38,1444,0,0,1,0,1
25.35,31.54,Sin nivel de instrucción,0,0,58,3364,1,0,0,1,1
25.35,34.79,Primaria incompleta,0,1,35,1225,1,0,0,1,1
25.35,35.62,Primaria completa,0,1,50,2500,0,1,0,1,1
0,18.01,Primaria completa,0,1,51,2601,1,0,1,1,0
0,38.18,Primaria completa,0,1,23,529,0,0,1,0,1
25.35,35.62,Primaria completa,0,1,42,1764,1,1,0,1,0
0,25.88,Primaria completa,0,0,50,2500,1,0,1,1,1
29.28,38.7,Primaria incompleta,0,1,33,1089,1,1,0,1,0
29.28,46.83,Primaria completa,0,0,52,2704,1,0,0,0,1
38.25,43.98,Primaria incompleta,0,1,55,3025,1,1,0,1,0
0,25.88,Secundaria incompleta,0,1,35,1225,1,0,1,1,0
34.63,43.49,Primaria incompleta,0,1,25,625,0,1,1,0,1
38.25,43.49,Primaria completa,0,1,52,2704,1,0,0,1,1
19.73,35.62,Secundaria incompleta,0,0,23,529,0,0,0,0,1
44.3,47.35,Primaria incompleta,1,0,63,3969,0,0,0,1,0
0,22.72,Secundaria incompleta,0,1,44,1936,1,0,0,1,1
0,25.88,Secundaria incompleta,0,1,36,1296,0,1,1,0,0
0,0,Secundaria incompleta,0,0,19,361,0,0,1,0,0
56.12,48.03,Primaria incompleta,1,0,50,2500,1,0,1,0,1
10.32,22.72,Secundaria incompleta,0,1,42,1764,1,0,0,1,0
55.4,49,Primaria completa,1,0,61,3721,1,0,0,0,1
25.35,31.54,Sin nivel de instrucción,0,0,57,3249,1,0,0,1,1
10.32,22.72,Secundaria completa,0,0,18,324,0,0,0,0,1
52.51,52.27,Sin nivel de instrucción,1,0,62,3844,1,0,0,1,1
55.4,47.7,Primaria completa,1,1,44,1936,0,0,1,0,0
46.17,40.04,Secundaria incompleta,1,0,52,2704,1,0,0,1,1
0,31.54,Sin nivel de instrucción,0,1,52,2704,0,0,0,1,0
34.63,44.21,Primaria completa,0,0,53,2809,0,1,0,1,1
43.28,41.81,Primaria completa,1,0,22,484,0,0,1,0,0
0,22.72,Secundaria incompleta,0,1,24,576,0,0,0,0,1
34.63,40.8,Sin nivel de instrucción,0,1,45,2025,0,1,0,0,0
0,9.470000000000001,Secundaria incompleta,0,0,45,2025,0,1,0,0,1
10.32,25.88,Primaria completa,0,0,49,2401,1,0,1,0,1
0,0,Secundaria incompleta,0,0,23,529,0,0,0,0,1
0,30.05,Primaria incompleta,0,0,20,400,0,1,0,1,1
19.73,40.43,Secundaria incompleta,0,1,18,324,0,1,0,0,0
0,0,Educación superior,0,1,23,529,0,0,0,0,0
19.73,22.72,Primaria completa,0,0,46,2116,0,1,0,0,1
34.63,40.8,Secundaria incompleta,0,0,40,1600,0,1,0,1,1
0,28.22,Sin nivel de instrucción,0,0,23,529,0,1,0,1,1
